,中文名稱,英文名稱,上映日期,類型,簡介
10,疾凍救援,The Ice Road,2021-09-24,動作,"★ 今年暑假超級災難動作強檔！
★《即刻救援》億萬巨星連恩尼遜年度鉅獻！
★ 耗資4000萬美金拍攝、加拿大冰路實地取景，享受冰上狂飆刺激快感 ！
★《世界末日》《空中監獄》《終極警探3》編劇強納森漢斯林執導最新力作！
 
300英哩冰封路 30小時危機倒數 唯一存活機會！
 
在加拿大北部一處偏僻的鑽石礦坑發生重大坍塌意外，一群礦工被埋在坑道內，僅剩30小時的氧氣可以存活。駕駛經驗豐富的巨型卡車駕駛（連恩尼遜飾）、與天才機械師弟弟葛帝(馬克斯湯瑪斯飾)組成緊急救難隊，靠著巨型卡車橫越300英哩結冰湖面構成「冰路」，救出被困住的26名礦工。這群緊急救難隊成員不但要在逐漸融化的「冰路」搏命飆速、還要面對即將來襲的超大風暴，但他們真正的威脅卻是過去從未遇過的恐怖危機...原來礦坑企業公司為了隱藏爆炸意外主因被揭發，雇用大批殺手阻撓救難隊員行進，一場驚天動地的救難行動在冰天雪地中就此展開！"
11,殺手保鑣2,The Hitman's Wife's Bodyguard,2021-09-17,動作喜劇,"★ 億萬票房《殺手保鑣》系列續集，暑假必看!
★影史最強三""賤""客，原班人馬霸氣回歸，戰力全開「一生只賤你一人」!
 
萊恩雷諾斯、山繆傑克森雙人合體電影《殺手保鏢》票房大獲成功，萊恩與山繆都相當喜歡這個角色，因此再度與導演簽下續集合約。但有個前提是：續集劇本一定要更賤、爆破要更驚人，導演義無反顧一口答應! 
 
《殺手保鏢2》在2019年5月於克羅埃西亞開拍，故事將延續上一集，為防止獨裁勢力摧毀整個歐洲，嗆辣老婆「索妮亞」出獄後被迫與3A保鑣-麥可聯手執行任務，三人合體的嘴賤攻防怎能不期待!"
12,沙丘,Dune,2021-09-16,動作科幻劇情,"《沙丘》講述一個神祕又性格強烈的英雄之心路歷程，本片講述保羅亞崔迪的故事，他是一個聰明又富有天賦的年輕人，肩負超越自己理解的偉大天命，且必須遠行至宇宙中最危險的行星，以確保他家人及族人未來的延續。敵對勢力為搶奪唯有此行星才出產的珍貴資源大打出手，而這也是人類最珍視的資源，一種能解鎖人類偉大潛能的物質，唯有能戰勝自己恐懼的人才能存活。
 
本片主要演員包括曾被奧斯卡提名的提摩西夏勒梅（《以你的名字呼喚我》、《她們》）、蕾貝卡弗格森（《安眠醫生》、《不可能的任務：全面瓦解》）、奧斯卡伊薩克（《星際大戰》系列電影）、曾被奧斯卡提名的喬許布洛林（《自由大道》、《復仇者聯盟：無限之戰》）、史戴倫史柯斯嘉（HBO的《核爆家園》、《復仇者聯盟2：奧創紀元》）、戴夫巴帝斯塔（《星際異攻隊》系列、《復仇者聯盟：終局之戰》）、史蒂芬麥金利亨德森（《心靈圍籬》、《淑女鳥》）、千黛亞（《蜘蛛人：返校日》、HBO的《亢奮》）、大衛達斯馬齊連（《銀翼殺手2049》、《黑暗騎士》）、張震（《龍先生》、《臥虎藏龍》）、莎朗鄧肯布魯斯特（《星際大戰外傳：俠盜一號》、Netflix的《性愛自修室》），以及曾被奧斯卡提名的夏綠蒂蘭普琳（《45年》、《刺客教條》），傑森摩莫亞（《水行俠》、HBO的《權力遊戲》），及奧斯卡得主哈維爾巴登（《險路勿近》、《007：空降危機》）。"
13,刺客密令,The Protege,2021-09-10,動作懸疑/驚悚,"★ 《007首部曲：皇家夜總會》名導馬丁坎貝爾全新動作鉅獻
★ 《殺手保鑣》《全面攻佔》製片團隊傾力製作 火力全開
★ 《私刑教育系列》《神隱任務：永不回頭》編劇精心打造
★ 好萊塢亞裔女星Maggie Q、金獎男星米高基頓大銀幕火爆交鋒
★ 「ㄇㄉㄈㄎ」山繆傑克森化身傳奇刺客大師
 
安娜（Maggie Q 飾）兒時被傳奇刺客穆迪（山繆傑克森 飾）所救，並接受他的訓練，成為世界頂尖的契約殺手。某天，穆迪遭到不明人士殺害，把他視為父親的安娜誓言要找出幕後黑手血債血償，並循線找到神祕殺手林布蘭（米高基頓 飾），與其展開一場致命的貓捉老鼠遊戲。然而，隨著真相逐漸明朗，安娜和林布蘭的關係也變得更加複雜……。"
14,東京復仇者,Tokyo Revengers,2021-09-10,動作冒險,"★日本雙週票房冠軍
★《週刊少年Magazine》的人氣作品
★北村匠海領銜主演，山田裕貴與吉澤亮組成最強雙人組
★SUPER BEAVER 帶來的主題曲「名前を呼ぶよ」
 
原作漫畫由和久井健所著的《東京卍復仇者》，描述無論做什麼事情都不順利的主角「武道」，又住在破舊老公寓裡的他，從電視上得知國中時期的前女友「日向」無端捲入幫派火拼而身亡。某天他在月台等車時居然跌落鐵軌，正他以為自己死定了，回神之後卻發現自己回到 12 年前的國中時期。後來又遇上了日向的弟弟「直人」，告訴他 12 年後發生的事實，要求他要保護姐姐，雙方握手之後他又再次回到現代……。"
15,密弒遊戲2：勝者危亡,Escape Room: Tournament of Champions,2021-09-03,動作恐怖懸疑/驚悚,為了將害人致死的「世界頂尖密室逃脫」主辦方繩之以法，兩位遊戲生存者柔伊（泰勒羅素飾）和班（羅根米勒飾）決定聯手到紐約找出背後兇手。但兩人卻與其他四位陌生人在紐約地鐵上遇到大災難，並意外發現他們不僅捲入更危險致命的密室遊戲，且所有人之前都是「世界頂尖密室逃脫」遊戲的生存者。在不解迷就等死的情況下，這六人將如何協力找生路，避免成為下一批遊戲犧牲者？
16,尚氣與十環傳奇,Shang-Chi and the Legend of the Ten Rings,2021-09-02,動作冒險奇幻,漫威電影宇宙再度擴張，全新動作英雄《尚氣與十環傳奇》正式登場，故事敘述尚氣（劉思慕飾演）自幼接受父親文武（梁朝偉飾演）的鐵血戰鬥培訓，精通各種武術招式。長大後為了逃離家鄉，他改名換姓展開新生活，認識了新摯友凱蒂（奧卡菲娜飾演），平靜日子就這樣過了十年，直到過去再度找上門… 尚氣能否會發掘十環的無敵力量，無懼擺脫父親的勢力？
17,脫稿玩家,Free Guy,2021-08-12,動作喜劇,《脫稿玩家》 故事描述一個銀行小職員 - 蓋伊 (萊恩雷諾斯) 日復一日年復一年做著無聊的工作，過著樸實無華的生活，直到有一天他突然發現自己是一個暴力電玩中可有可無的配角，他想要突破現狀，但這個動作竟讓整個遊戲大變調，除了要挑戰層層關卡，還要拯救世界，更重要的是否能從C咖一躍成A咖呢？
18,玩命關頭9,Fast & Furious 9,2021-08-11,動作冒險,"馮迪索飾演的唐老大和莉蒂與他的兒子小布萊恩，正在過著與世隔絕的平靜生活，但是他們都知道這種平靜的生活隨時隨地都會受到致命危機的威脅。這次，這個威脅將逼迫唐老大面對他過去犯下的罪孽，如果他想要拯救他最愛的人們。他的團隊將再度攜手合作，槓上他們遇過最高竿的職業刺客和飆速車手，並且阻止他摧毀全世界的邪惡計畫。這個神秘人物也正好是早就被唐老大切斷兄弟關係的親弟弟雅各（約翰希南 飾）。
 
【關於電影】
曾經執導《玩命關頭》第3集、第4集、第5集和第6集的華裔導演林詣彬回歸執導《玩命關頭9》，他讓這個電影系列成為全球大賣的超級動作鉅片。《玩命關頭9》這部全新系列電影中的動作場面橫跨全球，從倫敦到東京，從中美洲到愛丁堡，然後從位於亞塞拜然的秘密地下碉堡，一直到喬治亞共和國首都提比里斯車水馬龍、熙來攘往的街頭。這一路上，老朋友將起死回生，昔日的敵人將再度回歸，歷史將被重新改寫，而且家庭真正的意義也將受到前所未有的考驗。再度回歸參與這部電影演出的堅強卡司包括蜜雪兒羅卓奎茲、泰瑞斯吉布森、路達克里斯、喬丹娜布魯斯特、娜塔莉艾曼紐、姜成鎬，以及奧斯卡影后海倫米蘭與莎莉賽隆。曾經榮獲葛萊美獎肯定的當紅歌手和超級巨星卡蒂B在《玩命關頭9》一片中將飾演全新角色蕾莎，一個和唐老大的過去有關聯的女子，另外，雷鬼動音樂巨星歐蘇納也在這部電影中客串演出。"
19,自殺突擊隊：集結,The Suicide Squad,2021-08-05,動作冒險,"歡迎來到地獄—全美死亡率最高的「美夢監獄」。那裡關押著最兇惡的超級反派，他們為了逃離該處願意付出任何代價，甚至不惜加入超級神祕又黑幕重重的X特遣隊。這次九死一生的任務是什麼呢？首先結集「血腥運動」、「和平使者」、「迴旋鏢隊長」、「捕鼠人2」、「智者」、「鯊魚王」、「黑色守衛」、「標槍」，以及大家最喜歡的精神病患「哈莉奎茵」等一幫罪犯，給他們配上最精良的重裝武器，再把他們扔…請注意真的是用扔的，到與世隔絕又布滿敵軍的柯多瑪堤小島。他們徒步穿越每個角落都藏滿敵對兵力和武裝傭兵的叢林，突擊隊員在瑞克佛萊格上校一人隨行並帶領管束下，執行著搜索及摧毀的任務…
 
阿曼達華勒的政府技工則從耳機裡提點監控，全程緊迫盯人。與往常一樣，他們只要踏錯一步就會屍骨無存（無論是死於敵方的手下、自己隊友的暗算，或是華勒的親自下令）。若真要下注賭個輸贏，明智的選擇絕對是押他們落敗，全軍覆沒。"
20,大紅狗克里弗,Clifford the Big Red Dog,2021-12-10,動畫冒險喜劇,"超級巨大的毛茸茸英雄即將登上大銀幕！
 
改編自備受喜愛的經典童書，大紅狗克里弗將會教導全世界如何付出大大的愛！
 
當中學生艾蜜莉伊莉莎白（達比坎普 飾）遇見一名擁有魔法的動物救援者（約翰克里斯 飾），而他又送給她一隻紅色的小狗狗，她絕對沒想到隔天一覺醒來，竟然會在她位於紐約市的小公寓，發現一隻三米高的巨大獵犬。因為她的單親媽媽（席安娜蓋蘿莉 飾）正在出差，於是艾蜜莉和她愛玩又孩子氣的凱西叔叔（傑克懷特霍爾 飾）就在被暱稱為大蘋果的紐約市，展開一場驚險刺激的冒險旅程，保證令人看得大呼過癮。"
21,尖叫旅社：變形怪獸,Hotel Transylvania: Transformania,2021-10-08,動畫冒險喜劇,強尼為了獲得岳父德古拉的信任，意外得到變形器而成為一隻大怪獸，還把吸血鬼德古拉和他的怪獸好友們全都變成了人類，整個旅館陷入大危機！為了找到解決方法，不對盤的強尼與德古拉只好搭檔前往南美展開一場大冒險，且在時間的逼近下，兩人必須學會信任彼此，否則他們有可能再也變不回原來的樣貌…。
22,汪汪隊立大功電影版,PAW Patrol: The Movie,2021-09-17,動畫冒險,"《汪汪隊立大功電影版》汪汪隊出發救援！
當汪汪隊的死對頭韓丁納當上鄰近的冒險市市長，並且開始大搞破壞的時候，萊德和大家最喜愛的狗狗英雄(阿奇、毛毛、天天、路馬、灰灰、小礫)，就蓄勢待發、準備就緒，直接面對這個艱難的挑戰。雖然有一隻狗狗必須在冒險市面對他的過去，但是汪汪隊也得到一名新盟友的幫助，那是一隻叫莉柏蒂的臘腸犬。汪汪隊靠著全新的道具和裝備，為了拯救冒險市的市民，同心協力、冒險犯難！加入這部全新驚險刺激的首部大銀幕冒險動畫長片的是原創動畫影集的配音演員陣容，以及全新的配音演員，包括伊恩阿米塔格、瑪賽馬汀、朗帕多、雅拉沙希迪、金卡戴珊威斯特、朴藍道、戴克斯薛普，以及泰勒派瑞與吉米基墨並且特別介紹威爾布里斯賓。"
23,綠騎士,The Green Knight,2021-09-10,冒險奇幻劇情,"★《宿怨》、《夢想之地》優質製作公司「A24」年度史詩鉅獻！
★ 再現《冰與火之歌》、《魔戒》、《哈比人》奇幻冒險世界！
★ 改編《魔戒》作者J.R.R.托爾金翻譯文本傑作《高文爵士與綠騎士》！ 
★《鬼魅浮生》、《尋龍傳說》、《老人與槍》原班製作團隊，最新奇幻史詩冒險大片！
★《鬼魅浮生》名導大衛羅利，對圓桌騎士經典故事進行嶄新又大膽的詮釋！
★《魔戒》、《金剛》、《阿凡達》特效團隊，運用最頂尖CGI技術打造革命性特效！
★《冰與火之歌：權力遊戲》艾美獎獲獎化妝師，打造讓人目不轉睛的特殊化妝！
★ 電影美學全面提升，嘆為觀止的觀影體驗，絕對要進戲院大銀幕觀賞之作！
★ 金獎提名男星戴夫帕托展開英勇冒險長征，展現從影至今最精湛的表演！
★《丹麥女孩》奧斯卡最佳女配角艾莉西亞薇坎德分飾兩角，展現變色龍般的演技！
★ 全球盛讚！IMDb直逼8分佳績！爛番茄96%新鮮度！Metacritic「必看」認證！
 
一年前的挑戰，一年後的約定
亞瑟王與圓桌騎士，在宮殿中歡慶聖誕節，一名綠騎士（拉爾夫伊內森飾演）闖進大廳，一手拿著冬青、一手拿著斧頭，揚言向亞瑟王的眾騎士挑戰，看現場哪位騎士敢用斧頭砍下他的頭顱。亞瑟王的姪子高文爵士（戴夫帕托飾演）挺身而出，砍下綠騎士的頭。沒想到綠騎士竟舉著被砍下的頭顱，要求高文爵士在隔年聖誕節，必須回到綠教堂找他，並接受他的回砍…。一年後，為了兌現承諾並遵守騎士精神，高文爵士踏上了這段驚心動魄的旅程…。
 
【關於電影】
 
《宿怨》製作公司年度史詩鉅獻，再現《冰與火之歌》奇幻冒險世界
 
《綠騎士》是曾發行過《宿怨》（Hereditary）、《仲夏魘》（Midsommar）、《月光下的藍色男孩》（Moonlight）、《夢想之地》（Minari）等眾多好評佳片，並被譽為「金獎製造機」的「A24」製作公司，所頃力打造的最新作品。將公司成立宗旨擺在「打造擁有獨特視點電影作品」的A24，這回將《亞瑟王傳奇》中的經典篇章《高文爵士與綠騎士》（Sir Gawain and the Green Knight）進行改編，野心勃勃地呈現A24首部奇幻史詩冒險大片，並透過最先進的現代科技，去述說這個古老的史詩篇章，表現出電影形式的無限可能。消息一出，也獲得全球影迷的熱烈討論。
 
《高文爵士與綠騎士》源於14世紀後期，作者不明的韻文傳奇敘事詩，也是《亞瑟王傳奇》中最好的篇章；之後則由以《魔戒》（The Lord of the Rings）、《哈比人》（The Hobbit）等作聞名的奇幻文學大師JRR托爾金（J. R. R. Tolkien），首度解釋、翻譯並發表成現代語作品，被大眾廣為閱讀；內容並透過充滿魅惑的象徵及比喻，深深擄獲讀者、學者和藝術家的心。其實，這並非是這個傳奇故事的首度改編。英國導演史蒂芬威克斯（Stephen Weeks）就曾分別在1973年與1984年執導過《高文爵士與綠騎士》（Gawain and the Green Knight）與《勇者之劍》（Sword of the Valiant: The Legend of Sir Gawain and the Green Knight）兩部電影，先後由莫瑞海德（Murray Head）與邁爾斯奧基夫（Miles O'Keeffe）飾演英勇的「高文爵士」；該作也曾在1991年曾推出過電視電影版本。這回由A24挑戰這個文本，找來曾執導過《鬼魅浮生》（A Ghost Story）、《老人與槍》（The Old Man & the Gun）等片，頗具個人風格的大衛羅利（David Lowery）擔綱編導，可說是一時之選。
 
本片故事描述高文爵士踏上英勇無畏的宿命冒險長征。高文是亞瑟王的姪子，但他始終不認為自己有資格成為一名騎士，也不斷否認自己，流連於女人當中。直到他在新年前夕，接受綠騎士的挑戰，砍下了綠騎士的頭，並與綠騎士約定隔年相見，接受對方回砍，獻上自己的頭顱。一年後，他履行承諾踏上難忘的自我發現之旅，並在途中與瘋狂的攔路強盜、幽靈般的少女、流浪的巨人、妖精與會說話的狐狸相遇與抗衡。他透過面對綠騎士，來定義自己的性格，並在他的家庭與王國當中，試圖證明自己的榮耀與價值。
 
大衛羅利透露在大學一年級時，讀到了《高文爵士和綠騎士》這個作品：「我喜歡這個年輕人如此荒謬的賭注，致力於一場勝利的代價，就是正在失去自己的生命。」不過他當時並無法完全理解這個作品，為什麼能夠流傳如此久遠。直到2018年，他在創作迪士尼電影《尋龍傳說》（Pete's Dragon）的過程中，開始構思出這個冒險史詩故事，於是決定重新閱讀《高文爵士和綠騎士》，並進行劇本改編。他對此補充：「直到我完全進入創作過程，才真正理解為什麼這個作品經得起時間考驗，並意識到我要展開一場艱鉅的任務。原始文本是如此豐富，充滿意義與象徵，以至於可以對它進行十幾種改編，卻仍然無法完整傳達出它的全貌。它最初寫於14世紀，但感覺卻很現代，這種改編是對文本的一種解釋，也正與之對話。它反映出原始詩歌中涵蓋的價值觀，同時也對於如何將這些價值觀具體化，還有如何讓它在我們的文化中產生共鳴、產生疑問。」這也讓他決定放入基督教與異教之間的張力，同時努力使這個14世紀的故事，在現代產生共鳴。也因為他以驚人的洞察力，完美重現出原著的世界觀，讓他因此獲得「本世紀偉大導演的誕生」盛讚。
 
本片眾星雲集，除了找來《漫漫回家路》（Lion）金獎提名男星戴夫帕托（Dev Patel）飾演高文爵士，也請來以《丹麥女孩》（The Danish Girl）榮獲奧斯卡「最佳女配角獎」的艾莉西亞薇坎德（Alicia Vikander）、《非禮勿弒》（The Gift）喬爾埃哲頓（Joel Edgerton）、《不可能的任務》（Mission Impossible）西恩哈里斯（Sean Harris）、《冰與火之歌：權力遊戲》（Game of Thrones）凱特迪奇（Kate Dickie）、《敦克爾克大行動》（Dunkirk）貝瑞科漢（Barry Keoghan）等人共同演出，展現精湛的群體演技。
 
不僅如此，本片還找來打造《魔戒》、《金剛》（King Kong）、《阿凡達》（Avatar）的知名特效公司「維塔數位」（Weta Digital）參與其中，運用最頂尖的CGI技術，打造革命性的視覺饗宴；輔以導演對這個經典故事既嶄新又大膽的重新詮釋，賦予觀眾獨一無二的觀影體驗，不僅具備完美的文學性，更有驚人的藝術性。尤其本片的攝影、色調、光線與音效，絕對必須透過戲院大銀幕觀賞，才能享受到其中的美妙！這也讓本片上映之後，深深擄獲媒體、影評與觀眾的心，不僅在嚴峻的疫情期間，以首週末北美678萬美元（約新台幣1.89億元）票房，創下A24繼《宿怨》、《原鑚》（Uncut Gems）、《女巫》（The Witch）之後，第四高的票房佳績，更是A24在今年北美上映規模最大的電影。此外，本片更在上映的第一時間，於多個指標電影評價網站，如「IMDb」獲得直逼8分佳績，「爛番茄」更衝上96%新鮮度，並獲得「Metacritic」的「必看」認證！如今本片即將在台灣各大戲院上映，也是觀眾們千萬不容錯過的必看之作。"
